m,h
0,-0.00999999999999979
0.3994,0.4
0.5996,0.550000000000001
0.8008,0.770000000000001
1.001,0.95
1.2022,1.13
1.4024,1.37
1.6026,1.52
1.8038,1.61
0,0.0100000000000007
0.3994,0.4
0.5996,0.54
0.8008,0.770000000000001
1.001,0.96
1.2022,1.14
1.4024,1.39
1.6026,1.53
1.8038,1.76
